"Reason for Credit Entry","Sub Order No","Order Date","Customer State","Product Name","SKU","Size","Quantity","Supplier Listed Price (Incl. GST + Commission)","Supplier Discounted Price (Incl GST and Commision)","Packet Id"
"DELIVERED","169885676050089280_1","2025-06-27","Maharashtra","2 Air Fryer Silicone Reusable Liners - Reusable Non-Stick Air Fryer Silicone Pot Liner  with 1 pair of heat resistence silicon mittens","AIR FRYER LINER WITH MITTENS","Free Size","1","180.0","180.0","TK2YAJU23445606"
"DELIVERED","169892388885073280_1","2025-06-27","Gujarat","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","A expandable shelf","Free Size","1","270.0","270.0","KP9YAJU02582791"
"DELIVERED","169947843726181702_1","2025-06-27","Maharashtra","2 Air Fryer Silicone Reusable Liners - Reusable Non-Stick Air Fryer Silicone Pot Liner  with 1 pair of heat resistence silicon mittens","AIR FRYER LINER WITH MITTENS","Free Size","1","180.0","180.0","TK2YAJU23445597"
"DELIVERED","169953630366043585_1","2025-06-27","Tamil Nadu","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","A expandable shelf","Free Size","1","290.0","290.0","KP9YAJU02582837"
"DELIVERED","170018887818120641_1","2025-06-27","Tamil Nadu","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","A expandable shelf","Free Size","1","290.0","290.0","KP9YAJU02582792"
"DELIVERED","170022148663858688_1","2025-06-27","Maharashtra","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","Adjestabel rack","Free Size","1","300.0","300.0","KP9YAJU02578919"
"DELIVERED","170027720368033216_1","2025-06-27","Tamil Nadu","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","A expandable shelf","Free Size","1","290.0","290.0","KP9YAJU02582813"
"DELIVERED","170033556662881665_1","2025-06-27","Maharashtra","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","A expandable shelf","Free Size","1","270.0","270.0","KP9YAJU02578912"
"DELIVERED","170046928575563072_1","2025-06-27","Karnataka"," ROUND SHAPED SILICON LINER I PACK OF 2 ALONG WITH PAIR OF MITTENS I","SILICON LINER with mittens","Free Size","1","150.0","150.0","TK2YAJU23445605"
"DELIVERED","170054387293783360_1","2025-06-27","Jharkhand","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","A expandable shelf","Free Size","1","290.0","290.0","KP9YAJU02582836"
"DELIVERED","170054739204277571_1","2025-06-27","Madhya Pradesh","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","A expandable shelf","Free Size","1","290.0","290.0","KP9YAJU02582800"
"DELIVERED","170066618766953921_1","2025-06-27","Karnataka","2 Air Fryer Silicone Reusable Liners - Reusable Non-Stick Air Fryer Silicone Pot Liner  with 1 pair of heat resistence silicon mittens","AIR FRYER LINER WITH MITTENS","Free Size","1","180.0","180.0","TK2YAJU23445594"
"DELIVERED","170078515550064000_1","2025-06-27","Kerala","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","A expandable shelf","Free Size","1","290.0","290.0","KP9YAJU02582829"
"DELIVERED","170106246451351680_1","2025-06-27","Tamil Nadu","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","A expandable shelf","Free Size","1","290.0","290.0","KP9YAJU02578916"
"DELIVERED","170126861669076480_1","2025-06-27","Telangana","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","Adjestabel rack","Free Size","1","300.0","300.0","KP9YAJU02582828"
"DELIVERED","170139532438638017_1","2025-06-27","Goa","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","A expandable shelf","Free Size","1","290.0","290.0","KP9YAJU02582812"
"DELIVERED","170153109598342528_1","2025-06-27","Karnataka","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","A expandable shelf","Free Size","1","270.0","270.0","KP9YAJU02582805"
"DELIVERED","170164133844407808_1","2025-06-27","Maharashtra","Air Fryer Reusable Silicone Pot, 6.8 inch Non-Stick Air Fryer Liners Ear Handles Airfryer Tray","alfwith#%$BM","Free Size","1","160.0","160.0","TK2YAJU23445621"
"DELIVERED","170169308592132224_1","2025-06-27","Telangana","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","A expandable shelf","Free Size","1","290.0","290.0","KP9YAJU02582806"
"DELIVERED","170171386681020544_1","2025-06-27","Telangana","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","A expandable shelf","Free Size","1","290.0","290.0","KP9YAJU02582804"
"DELIVERED","170179859446861249_1","2025-06-27","Maharashtra","2 Air Fryer Silicone Reusable Liners - Reusable Non-Stick Air Fryer Silicone Pot Liner  with 1 pair of heat resistence silicon mittens","AIR FRYER LINER WITH MITTENS","Free Size","1","180.0","180.0","TK2YAJU23445596"
"DELIVERED","170181854843143297_1","2025-06-27","Tamil Nadu","Stainless Steel Bathroom Wall Hook 6 Hooks Cloth Hanger Bathroom Wall Door Hook Magic Sticker Self Adhesive for Bathroom Towel Rail Kitchen Hanger Hooks Capacity-5 Kg, Silver","Stainless Steel Bathroom Wall Hook 6","Free Size","1","220.0","220.0","KP9YAJU02578978"
"DELIVERED","170188133022751298_1","2025-06-27","Rajasthan","2 Air Fryer Silicone Reusable Liners - Reusable Non-Stick Air Fryer Silicone Pot Liner  with 1 pair of heat resistence silicon mittens","AIR FRYER LINER WITH MITTENS","Free Size","1","180.0","180.0","TK2YAJU23445595"
"RTO_COMPLETE","170192984481041856_1","2025-06-27","Tamil Nadu","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","A expandable shelf","Free Size","1","270.0","270.0","KP9YAJU02582811"
"DELIVERED","170202052399389440_1","2025-06-27","Tamil Nadu","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","A expandable shelf","Free Size","1","290.0","290.0","KP9YAJU02582835"
"SHIPPED","170204565651509377_1","2025-06-27","Gujarat","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","A expandable shelf","Free Size","2","270.0","270.0","KP9YAJU02582841"
"DELIVERED","170206146358859264_1","2025-06-27","Kerala","2 Air Fryer Silicone Reusable Liners - Reusable Non-Stick Air Fryer Silicone Pot Liner  with 1 pair of heat resistence silicon mittens","AIR FRYER LINER WITH MITTENS","Free Size","1","180.0","180.0","TK2YAJU23445599"
"DELIVERED","170208381000142976_1","2025-06-27","Rajasthan","2 Air Fryer Silicone Reusable Liners - Reusable Non-Stick Air Fryer Silicone Pot Liner  with 1 pair of heat resistence silicon mittens","AIR FRYER LINER WITH MITTENS","Free Size","1","180.0","180.0","TK2YAJU23445598"
"DELIVERED","170227560713129472_1","2025-06-27","Maharashtra","Broom Mop Holder Wall Mount Stainless Steel Wall Mounted Storage Organizer Heavy Duty Tools Hanger For Kitchen Bathroom Closet Garage Office Garden-1Pc (5 Rack 6 Hook),","5 holder ss","Free Size","1","370.0","370.0","KP9YAJU02582844"
"DELIVERED","170228275988237761_1","2025-06-27","Rajasthan","2 Air Fryer Silicone Reusable Liners - Reusable Non-Stick Air Fryer Silicone Pot Liner  with 1 pair of heat resistence silicon mittens","AIR FRYER LINER WITH MITTENS","Free Size","1","180.0","180.0","TK2YAJU23445608"
"DELIVERED","170228870669241796_1","2025-06-27","Chhattisgarh","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","Adjestabel rack","Free Size","1","300.0","300.0","KP9YAJU02582825"
"DELIVERED","170233195365764544_1","2025-06-27","Jharkhand","Stainless Steel Kitchen Dish Rack Expandable Storage Shelves for Kitchen Cabinets Multipurpose Organizer Extend Up to 520 mm with Anti-Rust Nano Coating","A expandable shelf","Free Size","1","290.0","290.0","KP9YAJU02582808"
"DELIVERED","170243964048346560_1","2025-06-28","Delhi","Cable Management Box - White | Wire Bin | Power Strip, Cords, Surge Protector Hiding Cover Organizer | Hide Loose Wire for Home Office Desk Desktop Floor & Keep Children and Pet Safe","Cable Management Box","Free Size","1","260.0","260.0","KP9YAJU02582822"
